Year,Month,Day,Temperature (° C),,,Dew Point (° C),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,
2019,Nov,24,29,24.4,22,21,20.1,18,94,78.2,51,20,12.1,7,1017.5,1014.4,1012.6
2019,Nov,25,29,24.3,21,20,17.9,15,94,69.6,45,17,6.9,0,1020.5,1017.3,1015.5
2019,Nov,26,25,22.1,19,19,16.6,15,83,71.3,61,17,9.2,4,1019.5,1017.3,1014.5
2019,Nov,27,27,23.9,22,20,18.9,16,83,73.6,61,19,8,0,1019.5,1017.1,1014.5
2019,Nov,28,22,20.3,19,16,13.7,12,73,66.1,53,24,14.2,4,1022.5,1019.8,1018.5
2019,Nov,29,23,20.3,18,16,13.2,11,83,64.3,53,19,10.8,2,1021.5,1018.6,1016.5
2019,Nov,30,25,21.7,18,19,17.3,16,94,76.8,61,15,7.9,2,1019.5,1016.3,1013.6
2019,Dec,1,25,20.9,18,18,15.6,10,83,72.2,59,28,15.7,4,1021.5,1017.3,1015.5
2019,Dec,2,21,18.4,17,11,7.7,5,68,50.3,38,24,15.2,4,1025.5,1022.6,1020.5
2019,Dec,3,22,17.7,15,10,6.2,3,68,48.4,31,19,11.2,4,1024.5,1022.3,1019.5
2019,Dec,4,23,17.7,13,10,5.7,2,77,47.7,27,17,8.6,0,1026.5,1023,1020.5
2019,Dec,5,23,18.7,15,7,4.5,2,51,40,27,24,13.7,6,1026.5,1024.1,1021.5
2019,Dec,6,22,16.9,13,7,2.8,0,67,40.6,25,20,11.2,4,1030.5,1026.3,1023.5
2019,Dec,7,22,15.4,10,10,4.3,-3,88,53.5,19,17,6.8,0,1027.5,1024.9,1022.5
2019,Dec,8,22,15,8,8,3.7,-4,87,53.3,18,11,6.4,0,1027.5,1023.7,1020.5
2019,Dec,9,23,16.1,10,9,5.5,-1,88,54.5,20,11,6.5,0,1023.5,1020.3,1017.5
2019,Dec,10,23,15.3,9,9,6.6,3,87,60.2,31,15,5.9,0,1020.5,1017.4,1014.5
2019,Dec,11,23,15.7,10,10,8,5,94,64,31,11,5.2,0,1020.5,1017.2,1014.5
2019,Dec,12,24,16.6,11,12,9.4,8,88,65.2,36,13,6.4,2,1020.5,1017.7,1014.5
2019,Dec,13,24,19.2,14,16,13.9,12,88,72.5,53,11,6.2,0,1021.5,1019.1,1017.5
2019,Dec,14,24,19.7,15,18,16.3,14,94,81.4,65,11,6.3,2,1021.5,1018.2,1015.5
2019,Dec,15,26,22.3,20,19,18.4,18,88,79,61,20,10.9,6,1018.5,1015.8,1013.6
2019,Dec,16,27,22.8,20,20,18.8,18,94,79.5,58,17,9.2,6,1016.5,1014.2,1011.6
2019,Dec,17,27,23,20,21,19.7,18,94,82.2,58,19,8.9,2,1016.5,1014.2,1012.6
2019,Dec,18,29,24.3,21,21,20.2,19,94,78.9,58,20,12.3,6,1016.5,1014.4,1011.6
2019,Dec,19,26,21.9,18,21,17.7,13,100,77.7,64,28,15.8,4,1017.5,1015.5,1013.6
2019,Dec,20,18,16.5,15,14,13,12,88,79.9,72,22,14.9,7,1018.5,1016.5,1014.5
2019,Dec,21,16,15.6,15,15,14.5,13,94,93.6,88,17,10.4,7,1017.5,1015.3,1012.6
2019,Dec,22,16,15.7,15,15,14.3,14,100,92,88,17,9.8,6,1017.5,1014.4,1011.6
2019,Dec,23,20,17.8,15,18,16.7,15,100,93.5,88,9,5,0,1014.5,1012.5,1010.6
2019,Dec,24,25,21.3,19,20,19.1,18,100,87.6,69,17,8.1,0,1016.5,1013.7,1011.6
2019,Dec,25,28,23.5,21,20,19.2,18,94,78.2,54,20,14.9,9,1014.5,1011.2,1008.6
2019,Dec,26,26,21.1,17,20,16.9,11,94,77.9,64,30,13.3,4,1018.5,1014.7,1011.6
2019,Dec,27,18,16.6,16,11,9.4,8,68,62.4,55,19,11.7,6,1021.5,1019.5,1018.5
2019,Dec,28,19,17,16,13,10.7,8,82,66.7,59,13,7.8,4,1020.5,1018.1,1016.5
2019,Dec,29,24,18.8,15,16,14.2,13,88,75.3,57,15,7.8,2,1018.5,1016.3,1013.6
2019,Dec,30,23,20,18,17,16.1,15,88,78.9,65,11,7,4,1020.5,1018.2,1016.5
2019,Dec,31,23,21,19,18,16.8,15,88,77.5,61,15,7.1,0,1024.5,1021.7,1020.5
2020,Jan,1,23,21.3,20,18,17,16,88,76.8,65,11,5.6,0,1024.5,1022.3,1020.5
2020,Jan,2,24,21.6,20,19,18.3,18,94,81.3,69,17,7.1,0,1023.5,1020.8,1018.5
2020,Jan,3,26,22.7,20,19,18.2,18,94,76,61,20,13,7,1021.5,1018.6,1016.5
2020,Jan,4,25,21.3,20,21,18.9,18,94,86.4,73,22,9.4,2,1019.5,1017,1014.5
2020,Jan,5,25,21.4,19,20,19,18,94,86.6,65,19,8.8,0,1018.5,1016,1013.6
2020,Jan,6,27,22.6,20,20,18.9,18,94,80.5,58,26,15,6,1017.5,1014.5,1011.6
2020,Jan,7,25,22,20,20,19.7,19,100,86.8,69,15,7.8,2,1017.5,1014.7,1013.6
2020,Jan,8,28,23.4,21,20,18.7,16,94,75.9,51,26,12.5,4,1017.5,1014.9,1012.6
2020,Jan,9,28,23.5,21,20,18.8,18,88,75.4,54,19,11.3,4,1016.5,1013.1,1010.6
2020,Jan,10,28,24.1,21,20,18.8,17,94,73.8,51,20,15.1,9,1014.5,1011.7,1009.6
2020,Jan,11,26,21.2,17,20,17.3,10,94,78.9,61,28,15.5,7,1015.5,1012.6,1010.6
2020,Jan,12,18,16.3,14,12,10.3,9,82,68.1,56,20,10.4,4,1019.5,1016.3,1013.6
2020,Jan,13,18,16.4,15,16,14,12,94,86.5,72,11,5.1,0,1016.5,1014.2,1011.6
2020,Jan,14,22,19.3,17,19,17.1,16,94,87.2,73,13,5.3,2,1015.5,1013.1,1010.6
2020,Jan,15,27,22.7,20,20,18.8,18,94,79.4,61,26,17.5,7,1013.6,1011.5,1008.6
2020,Jan,16,26,22.7,18,20,18.6,13,88,78,61,22,16,7,1016.5,1013.3,1011.6
2020,Jan,17,18,16,14,13,12,11,94,77.2,72,24,16.9,9,1020.5,1017.6,1015.5
2020,Jan,18,15,14.6,14,14,13.3,13,94,92,88,15,10.7,6,1018.5,1016.4,1014.5
2020,Jan,19,16,14.8,13,14,11.2,9,94,79.5,63,19,12.8,7,1021.5,1018.9,1016.5
2020,Jan,20,15,14.3,13,14,12.6,11,94,89.8,82,11,7.4,2,1021.5,1018.8,1016.5
2020,Jan,21,22,17.9,15,19,15.9,14,100,88.7,73,17,6.2,0,1020.5,1017.4,1014.5
2020,Jan,22,24,20.7,18,20,18.3,17,100,86.4,73,15,8.5,2,1017.5,1014.5,1011.6
2020,Jan,23,27,23.4,21,21,19.9,19,94,81.4,61,24,14.9,7,1015.5,1012.5,1009.6
2020,Jan,24,23,21.8,21,21,20.3,20,94,91.4,83,24,12.7,6,1014.5,1012.3,1009.6
2020,Jan,25,21,17.4,13,19,15,9,94,86.1,72,33,18.1,9,1018.5,1012.7,1009.6
2020,Jan,26,19,15.8,13,11,8.5,7,82,62.3,46,24,12.2,4,1019.5,1016.6,1013.6
2020,Jan,27,16,14.6,13,9,7.2,5,77,62,51,19,11.2,6,1017.5,1015.5,1012.6
2020,Jan,28,16,14.7,14,9,7.4,6,72,61.7,52,17,11,6,1020.5,1017.2,1015.5
2020,Jan,29,16,14.7,14,11,7.5,5,82,63,48,17,9.3,4,1023.5,1020.7,1018.5
2020,Jan,30,20,15.5,10,11,7.1,1,94,62.8,28,17,6.4,0,1023.5,1020.3,1017.5
2020,Jan,31,21,16.5,12,12,9.5,7,88,64.7,46,15,8.1,2,1021.5,1018.6,1016.5
2020,Feb,1,17,15.9,15,14,12.8,10,88,81.6,68,9,5.2,2,1019.5,1017.5,1015.5
2020,Feb,2,20,17.6,16,17,15.4,14,94,87.3,78,9,4.3,0,1019.5,1017,1014.5
2020,Feb,3,20,17.4,15,19,16.1,12,100,92.4,82,28,11.8,0,1017.5,1015.7,1013.6
2020,Feb,4,15,14,13,13,12.3,12,94,90.1,82,19,12.5,7,1019.5,1017.7,1016.5
2020,Feb,5,15,14.2,14,14,13,12,94,92.9,88,13,8.1,2,1019.5,1016.7,1014.5
2020,Feb,6,20,16.9,15,16,15.3,14,100,91,78,9,6.1,0,1016.5,1014.7,1012.6
2020,Feb,7,20,18.7,17,19,17.4,16,100,92,83,17,7.2,4,1019.5,1016.9,1014.5
2020,Feb,8,19,17.5,16,17,15.1,12,100,86.1,72,22,14.4,9,1023.5,1020.3,1017.5
2020,Feb,9,16,15,14,13,11.8,11,94,81.3,72,20,12.7,4,1026.5,1023.9,1022.5
2020,Feb,10,19,16.4,14,15,12.2,10,88,76.5,64,15,7.8,4,1022.5,1020.2,1017.5
2020,Feb,11,22,18.7,16,18,16.1,15,94,85,69,17,6.8,0,1019.5,1016.5,1013.6
2020,Feb,12,23,20.3,18,20,18.3,17,100,88.8,73,15,7.4,0,1016.5,1013.7,1010.6
2020,Feb,13,22,21.1,20,21,20.1,19,100,94,88,17,7.2,0,1012.6,1009.6,1005.6
2020,Feb,14,27,23.3,22,23,21.5,21,100,89.8,78,22,12.8,4,1008.6,1006.1,1002.6
2020,Feb,15,29,24.8,23,22,21.9,21,94,84.6,66,20,11.1,4,1012.6,1007.9,1005.6
2020,Feb,16,23,18.7,17,18,7.8,5,78,49.8,40,33,19.3,6,1023.5,1019.3,1013.6
2020,Feb,17,21,17.6,16,8,6,4,59,47,35,20,10.8,6,1027.5,1024.6,1021.5
2020,Feb,18,21,17.8,15,10,4.9,1,68,44.5,27,17,8.8,2,1026.5,1023.3,1019.5
2020,Feb,19,21,18,15,14,10.5,7,77,62.6,46,13,6.7,4,1024.5,1020.7,1017.5
2020,Feb,20,20,18.4,18,17,15.9,15,94,85.5,73,13,7.3,0,1023.5,1020.6,1018.5
2020,Feb,21,23,19.2,17,17,16.7,16,94,86.1,69,15,9.1,4,1026.5,1023.5,1020.5
2020,Feb,22,24,19.6,17,19,17,16,100,86.1,61,13,6.7,0,1027.5,1024,1021.5
2020,Feb,23,26,20.5,15,18,16,15,100,77.7,51,15,6.8,0,1024.5,1021.1,1018.5
2020,Feb,24,26,21.6,17,20,17,15,100,77.5,51,20,10.6,6,1019.5,1016.8,1013.6
2020,Feb,25,26,21.8,18,20,18,16,100,80.7,54,15,9.8,6,1017.5,1014.9,1012.6
2020,Feb,26,27,22.3,18,19,18,17,100,78.1,54,17,10.4,6,1018.5,1015.5,1013.6
2020,Feb,27,28,23.9,20,20,17.9,16,88,70.2,51,19,10.3,4,1018.5,1015.3,1012.6
2020,Feb,28,27,23.8,21,19,18.4,17,88,72.1,54,19,12.4,7,1016.5,1013.7,1011.6
2020,Feb,29,27,23.7,21,20,19.2,18,88,76.7,58,19,13.3,7,1013.6,1011.4,1008.6
